id,obs_tombo,tombo_tipo
4168,unicata,UNICATA
4179,duplicata,DUPLICATA
4192,duplicata,DUPLICATA
4194,duplicata,DUPLICATA
4195,duplicata,DUPLICATA
4207,duplicata,DUPLICATA
4225,duplicata,DUPLICATA
4231,duplicata,DUPLICATA
4232,1 duplicata,DUPLICATA
4236,duplicata,DUPLICATA
4239,duplicata,DUPLICATA
4275,duplicata,DUPLICATA
4308,duplicata,DUPLICATA
4312,duplicata,DUPLICATA
4332,duplicata,DUPLICATA
4336,duplicata,DUPLICATA
4363,unicata,UNICATA
4364,duplicata,DUPLICATA
4370,duplicata,DUPLICATA
4399,duplicata,DUPLICATA
4404,duplicata,DUPLICATA
4417,duplicata,DUPLICATA
4431,duplicata,DUPLICATA
4472,duplicata,DUPLICATA
4474,duplicata,DUPLICATA
4481,unicata,UNICATA
4482,unicata,UNICATA
4488,duplicata,DUPLICATA
4491,unicata,UNICATA
4509,unicata,UNICATA
4516,duplicata,DUPLICATA
4519,duplicata,DUPLICATA
4525,duplicata,DUPLICATA
4528,duplicata,DUPLICATA
4532,duplicata,DUPLICATA
4544,duplicata,DUPLICATA
4547,duplicata,DUPLICATA
4561,duplicata,DUPLICATA
4566,unicata,UNICATA
4610,duplicata,DUPLICATA
4648,unicata,UNICATA
4653,duplicata,DUPLICATA
4662,duplicata,DUPLICATA
4676,duplicata,DUPLICATA
4688,duplicata,DUPLICATA
4695,duplicata,DUPLICATA
4702,duplicata,DUPLICATA
4722,unicata,UNICATA
4732,duplicata,DUPLICATA
4740,duplicata,DUPLICATA
4745,duplicata,DUPLICATA
4760,duplicata,DUPLICATA
4772,duplicata,DUPLICATA
4777,duplicata,DUPLICATA
4781,duplicata,DUPLICATA
4787,unicata,UNICATA
4804,duplicata,DUPLICATA
4814,duplicata,DUPLICATA
4819,duplicata,DUPLICATA
4834,duplicata,DUPLICATA
4847,unicata,UNICATA
4858,duplicata,DUPLICATA
4866,duplicata,DUPLICATA
4874,duplicata,DUPLICATA
4885,duplicata,DUPLICATA
4913,duplicata,DUPLICATA
4925,duplicata,DUPLICATA
4936,duplicata,DUPLICATA
4938,unicata,UNICATA
4941,duplicata,DUPLICATA
4945,duplicata,DUPLICATA
4969,duplicata,DUPLICATA
4978,duplicata,DUPLICATA
4994,duplicata,DUPLICATA
4998,duplicata,DUPLICATA
5002,duplicata,DUPLICATA
5010,unicata,UNICATA
5012,duplicata,DUPLICATA
5027,unicata,UNICATA
5029,duplicata,DUPLICATA
5035,duplicata,DUPLICATA
5051,duplicata,DUPLICATA
5074,unicata,UNICATA
5094,unicata,UNICATA
5097,unicata,UNICATA
5101,unicata,UNICATA
5103,unicata,UNICATA
5119,unicata,UNICATA
5129,unicata,UNICATA
5134,unicata,UNICATA
5135,duplicata,DUPLICATA
5144,unicata,UNICATA
5152,unicata,UNICATA
5171,duplicata,DUPLICATA
5174,unicata,UNICATA
5179,duplicata,DUPLICATA
5186,unicata,UNICATA
5193,duplicata,DUPLICATA
5197,unicata,UNICATA
5198,duplicata,DUPLICATA
5202,duplicata,DUPLICATA
5213,duplicata,DUPLICATA
5238,duplicata,DUPLICATA
5248,duplicata,DUPLICATA
5253,unicata,UNICATA
5259,duplicata,DUPLICATA
5264,duplicata,DUPLICATA
5267,duplicata,DUPLICATA
5272,duplicata,DUPLICATA
5287,duplicata,DUPLICATA
5303,duplicata,DUPLICATA
5370,duplicata,DUPLICATA
5373,duplicata,DUPLICATA
5374,unicata,UNICATA
5378,duplicata,DUPLICATA
5379,duplicata,DUPLICATA
5382,duplicata,DUPLICATA
5405,unicata,UNICATA
5425,duplicata,DUPLICATA
5431,duplicata,DUPLICATA
5467,duplicata,DUPLICATA
5517,duplicata,DUPLICATA
5547,duplicata,DUPLICATA
5566,duplicata,DUPLICATA
5568,duplicata,DUPLICATA
5569,duplicata,DUPLICATA
5579,unicata,UNICATA
5591,duplicata,DUPLICATA
5604,duplicata,DUPLICATA
5660,duplicata,DUPLICATA
5723,unicata,UNICATA
5734,duplicata,DUPLICATA
5744,duplicata,DUPLICATA
5748,unicata,UNICATA
5750,duplicata,DUPLICATA
5758,unicata,UNICATA
5876,duplicata,DUPLICATA
5913,duplicata,DUPLICATA
5925,duplicata,DUPLICATA
5943,duplicata,DUPLICATA
5946,unicata,UNICATA
5955,unicata,UNICATA
5962,unicata,UNICATA
5971,unicata,UNICATA
5979,unicata,UNICATA
5998,duplicata,DUPLICATA
6007,duplicata,DUPLICATA
6013,unicata,UNICATA
6021,duplicata,DUPLICATA
6035,duplicata,DUPLICATA
6105,unicata,UNICATA
6121,duplicata,DUPLICATA
6128,duplicata,DUPLICATA
6139,duplicata,DUPLICATA
6155,duplicata,DUPLICATA
6179,unicata,UNICATA
6211,duplicata,DUPLICATA
6233,duplicata,DUPLICATA
6244,duplicata,DUPLICATA
6249,duplicata,DUPLICATA
6261,duplicata,DUPLICATA
6274,duplicata,DUPLICATA
6286,duplicata,DUPLICATA
6291,duplicata,DUPLICATA
6293,duplicata,DUPLICATA
6324,duplicata,DUPLICATA
6331,duplicata,DUPLICATA
6332,duplicata,DUPLICATA
6345,duplicata,DUPLICATA
6358,duplicata,DUPLICATA
6363,duplicata,DUPLICATA
6373,duplicata,DUPLICATA
6384,duplicata,DUPLICATA
6407,duplicata,DUPLICATA
6428,duplicata,DUPLICATA
6493,duplicata,DUPLICATA
6511,duplicata,DUPLICATA
6516,duplicata,DUPLICATA
6532,duplicata,DUPLICATA
6540,duplicata,DUPLICATA
6547,duplicata,DUPLICATA
6564,duplicata,DUPLICATA
6591,unicata,UNICATA
6599,unicata,UNICATA
6602,unicata,UNICATA
6608,duplicata,DUPLICATA
6618,duplicata,DUPLICATA
6625,duplicata,DUPLICATA
6627,duplicata,DUPLICATA
6636,duplicata,DUPLICATA
6642,unicata,UNICATA
6649,duplicata,DUPLICATA
6655,unicata,UNICATA
6660,duplicata,DUPLICATA
6670,duplicata,DUPLICATA
6677,duplicata,DUPLICATA
6679,duplicata,DUPLICATA
6686,duplicata,DUPLICATA
6706,duplicata,DUPLICATA
6735,duplicata,DUPLICATA
6740,duplicata,DUPLICATA
6744,duplicata,DUPLICATA
6749,duplicata,DUPLICATA
6752,duplicata,DUPLICATA
6755,duplicata,DUPLICATA
6759,duplicata,DUPLICATA
6762,duplicata,DUPLICATA
6770,duplicata,DUPLICATA
6777,duplicata,DUPLICATA
6779,duplicata,DUPLICATA
6787,duplicata,DUPLICATA
6825,duplicata,DUPLICATA
6839,duplicata,DUPLICATA
6850,duplicata,DUPLICATA
6852,duplicata,DUPLICATA
6856,duplicata,DUPLICATA
6898,duplicata,DUPLICATA
6901,duplicata,DUPLICATA
6917,duplicata,DUPLICATA
6928,unicata,UNICATA
6938,duplicata,DUPLICATA
6943,duplicata,DUPLICATA
6952,duplicata,DUPLICATA
7004,unicata,UNICATA
7006,unicata,UNICATA
7016,unicata,UNICATA
7032,unicata,UNICATA
7038,duplicata,DUPLICATA
7043,unicata,UNICATA
7046,duplicata,DUPLICATA
7047,duplicata,DUPLICATA
7054,unicata,UNICATA
7055,unicata,UNICATA
7057,unicata,UNICATA
7058,unicata,UNICATA
7067,unicata,UNICATA
7071,unicata,UNICATA
7073,unicata,UNICATA
7076,unicata,UNICATA
7079,duplicata,DUPLICATA
7085,unicata,UNICATA
7086,unicata,UNICATA
7088,unicata,UNICATA
7092,unicata,UNICATA
7093,duplicata,DUPLICATA
7098,unicata,UNICATA
7101,unicata,UNICATA
7104,unicata,UNICATA
7108,unicata,UNICATA
7109,unicata,UNICATA
7115,unicata,UNICATA
7123,unicata,UNICATA
7136,duplicata,DUPLICATA
7137,unicata,UNICATA
7144,duplicata,DUPLICATA
7149,duplicata,DUPLICATA
7162,duplicata,DUPLICATA
7170,duplicata,DUPLICATA
7184,duplicata,DUPLICATA
7187,duplicata,DUPLICATA
7189,duplicata,DUPLICATA
7193,duplicata,DUPLICATA
7201,duplicata,DUPLICATA
7204,duplicata,DUPLICATA
7241,duplicata,DUPLICATA
7255,duplicata,DUPLICATA
7274,duplicata,DUPLICATA
7302,unicata,UNICATA
7324,duplicata,DUPLICATA
7339,duplicata,DUPLICATA
7346,duplicata,DUPLICATA
7356,duplicata,DUPLICATA
7368,duplicata,DUPLICATA
7382,duplicata,DUPLICATA
7389,duplicata,DUPLICATA
7392,unicata,UNICATA
7398,duplicata,DUPLICATA
7422,duplicata,DUPLICATA
7423,duplicata,DUPLICATA
7433,duplicata,DUPLICATA
7437,duplicata,DUPLICATA
7493,duplicata,DUPLICATA
7494,duplicata,DUPLICATA
7577,duplicata,DUPLICATA
7587,duplicata,DUPLICATA
7657,duplicata,DUPLICATA
7669,duplicata,DUPLICATA
7672,duplicata,DUPLICATA
7679,unicata,UNICATA
7685,duplicata,DUPLICATA
7725,duplicata,DUPLICATA
7737,duplicata,DUPLICATA
7761,unicata,UNICATA
7804,duplicata,DUPLICATA
7817,duplicata,DUPLICATA
7825,duplicata,DUPLICATA
7836,duplicata,DUPLICATA
7855,duplicata,DUPLICATA
7856,duplicata,DUPLICATA
7858,duplicata,DUPLICATA
7864,duplicata,DUPLICATA
7874,duplicata,DUPLICATA
7878,duplicata,DUPLICATA
7890,duplicata,DUPLICATA
7895,unicata,UNICATA
7898,duplicata,DUPLICATA
7928,duplicata,DUPLICATA
7958,duplicata,DUPLICATA
7959,unicata,UNICATA
7960,duplicata,DUPLICATA
7968,duplicata,DUPLICATA
7970,duplicata,DUPLICATA
7972,duplicata,DUPLICATA
7986,duplicata,DUPLICATA
7995,duplicata,DUPLICATA
8006,duplicata,DUPLICATA
8024,duplicata,DUPLICATA
8031,duplicata,DUPLICATA
8033,duplicata,DUPLICATA
8035,Duplicata,DUPLICATA
8042,duplicata,DUPLICATA
8050,duplicata,DUPLICATA
8070,duplicata,DUPLICATA
8137,duplicata,DUPLICATA
8143,duplicata,DUPLICATA
8177,duplicata,DUPLICATA
8181,duplicata,DUPLICATA
8253,duplicata,DUPLICATA
8276,duplicata,DUPLICATA
8311,duplicata,DUPLICATA
8312,duplicata,DUPLICATA
8313,unicata,UNICATA
8320,duplicata,DUPLICATA
8371,duplicata,DUPLICATA
8396,duplicata,DUPLICATA
8404,duplicata,DUPLICATA
8409,duplicata,DUPLICATA
8420,duplicata,DUPLICATA
8441,duplicata,DUPLICATA
8455,duplicata,DUPLICATA
8463,duplicata,DUPLICATA
8478,duplicata,DUPLICATA
8492,duplicata,DUPLICATA
8501,duplicata,DUPLICATA
8504,duplicata,DUPLICATA
8532,duplicata,DUPLICATA
8553,duplicata,DUPLICATA
8573,duplicata,DUPLICATA
8604,unicata,UNICATA
8611,duplicata,DUPLICATA
8615,duplicata,DUPLICATA
8630,duplicata,DUPLICATA
8641,duplicata,DUPLICATA
8658,duplicata,DUPLICATA
8677,duplicata,DUPLICATA
8682,duplicata,DUPLICATA
8693,duplicata,DUPLICATA
8697,duplicata,DUPLICATA
8705,unicata,UNICATA
8709,duplicata,DUPLICATA
8710,duplicata,DUPLICATA
8730,duplicata,DUPLICATA
8731,unicata,UNICATA
8741,duplicata,DUPLICATA
8765,unicata,UNICATA
8775,unicata,UNICATA
8789,duplicata,DUPLICATA
8792,duplicata,DUPLICATA
8797,unicata,UNICATA
8801,duplicata,DUPLICATA
8824,unicata,UNICATA
8825,unicata,UNICATA
8834,unicata,UNICATA
8839,unicata,UNICATA
8840,unicata,UNICATA
8845,unicata,UNICATA
8856,unicata,UNICATA
8862,duplicata,DUPLICATA
8874,unicata,UNICATA
8885,unicata,UNICATA
8894,duplicata,DUPLICATA
8925,unicata,UNICATA
8942,duplicata,DUPLICATA
8945,duplicata,DUPLICATA
8962,duplicata,DUPLICATA
8975,duplicata,DUPLICATA
8977,duplicata,DUPLICATA
8988,duplicata,DUPLICATA
8990,duplicata,DUPLICATA
8993,duplicata,DUPLICATA
8997,duplicata,DUPLICATA
8998,duplicata,DUPLICATA
9000,duplicata,DUPLICATA
9006,unicata,UNICATA
9009,duplicata,DUPLICATA
9010,duplicata,DUPLICATA
9012,duplicata,DUPLICATA
9017,unicata,UNICATA
9018,duplicata,DUPLICATA
9021,duplicata,DUPLICATA
9029,duplicata,DUPLICATA
9036,duplicata,DUPLICATA
9072,duplicata,DUPLICATA
9077,duplicata,DUPLICATA
9088,duplicata,DUPLICATA
9091,duplicata,DUPLICATA
9098,duplicata,DUPLICATA
9104,unicata,UNICATA
9118,duplicata,DUPLICATA
9135,duplicata,DUPLICATA
9148,duplicata,DUPLICATA
9155,duplicata,DUPLICATA
9172,duplicata,DUPLICATA
9194,duplicata,DUPLICATA
9224,duplicata,DUPLICATA
9231,duplicata,DUPLICATA
9242,duplicata,DUPLICATA
9284,unicata,UNICATA
9290,duplicata,DUPLICATA
9301,duplicata,DUPLICATA
9306,unicata,UNICATA
9308,duplicata,DUPLICATA
9313,duplicata,DUPLICATA
9329,duplicata,DUPLICATA
9338,duplicata,DUPLICATA
9344,duplicata,DUPLICATA
9347,duplicata,DUPLICATA
9360,duplicata,DUPLICATA
9365,duplicata,DUPLICATA
9367,unicata,UNICATA
9381,duplicata,DUPLICATA
9387,duplicata,DUPLICATA
9420,duplicata,DUPLICATA
9421,duplicata,DUPLICATA
9426,duplicata,DUPLICATA
9464,duplicata,DUPLICATA
9483,unicata,UNICATA
9488,duplicata,DUPLICATA
9502,duplicata,DUPLICATA
9539,duplicata,DUPLICATA
9541,unicata,UNICATA
9580,unicata,UNICATA
9581,unicata,UNICATA
9582,unicata,UNICATA
9590,unicata,UNICATA
9600,unicata,UNICATA
9610,unicata,UNICATA
9646,unicata,UNICATA
9653,duplicata,DUPLICATA
9671,duplicata,DUPLICATA
9690,duplicata,DUPLICATA
9694,duplicata,DUPLICATA
9707,duplicata,DUPLICATA
