CODIGO,CIDADE,ESTADO,PAIS
347,4109500,,BRASIL
348,4103107,,BRASIL
349,4120101,,BRASIL
350,4109609,,BRASIL
351,4112009,,BRASIL
352,NI,PARANA,BRASIL
353,3502705,,BRASIL
354,5002209,,BRASIL
355,4101200,,BRASIL
356,3505401,,BRASIL
357,4103107,,BRASIL
358,4113304,,BRASIL
359,4109500,,BRASIL
360,5001102,,BRASIL
361,NI,BAHIA,BRASIL
362,4106902,,BRASIL
363,2919801,,BRASIL
364,3127107,,BRASIL
365,4104006,,BRASIL
366,4216503,,BRASIL
367,4107702,,BRASIL
368,4117909,,BRASIL
369,4127882,,BRASIL
370,4104253,,BRASIL
371,4120804,,BRASIL
372,4112900,,BRASIL
373,4102307,,BRASIL
374,4106902,,BRASIL
375,5002209,,BRASIL
376,3135100,,BRASIL
377,4111258,,BRASIL
378,4104204,,BRASIL
379,4100202,,BRASIL
380,4104006,,BRASIL
381,2931053,,BRASIL
382,4117701,,BRASIL
383,2932606,,BRASIL
384,5205109,,BRASIL
385,2919801,,BRASIL
386,4117701,,BRASIL
387,3136306,,BRASIL
388,4209409,,BRASIL
389,4118204,,BRASIL
390,4103107,,BRASIL
391,4128633,,BRASIL
392,4106902,,BRASIL
393,4101200,,BRASIL
394,3136405,,BRASIL
395,5002209,,BRASIL
396,4109609,,BRASIL
397,4109609,,BRASIL
398,4127601,,BRASIL
399,4205803,,BRASIL
400,4205803,,BRASIL
401,4119509,,BRASIL
402,4205803,,BRASIL
403,4117602,,BRASIL
404,4218905,,BRASIL
405,NI,SANTA CATARINA,BRASIL
406,4201257,,BRASIL
407,4205803,,BRASIL
408,4128633,,BRASIL
409,4105805,,BRASIL
410,4125605,,BRASIL
411,4206108,,BRASIL
412,4119905,,BRASIL
413,5001102,,BRASIL
414,4119954,,BRASIL
415,4109500,,BRASIL
416,4103107,,BRASIL
417,2908606,,BRASIL
418,5214606,,BRASIL
419,4125506,,BRASIL
420,4103107,,BRASIL
421,4216503,,BRASIL
422,4209409,,BRASIL
423,2932507,,BRASIL
424,4101705,,BRASIL
425,4104303,,BRASIL
426,4207304,,BRASIL
427,1709302,,BRASIL
428,4104303,,BRASIL
429,4110201,,BRASIL
430,4102505,,BRASIL
431,4104303,,BRASIL
432,4124202,,BRASIL
433,4104303,,BRASIL
434,4104303,,BRASIL
435,4119509,,BRASIL
436,5222302,,BRASIL
437,4102307,,BRASIL
438,4119509,,BRASIL
439,4105805,,BRASIL
440,5300108,,BRASIL
441,5300108,,BRASIL
442,5205307,,BRASIL
443,5205307,,BRASIL
444,4106902,,BRASIL
445,NI,GOIAS,BRASIL
446,4101200,,BRASIL
447,4114005,,BRASIL
448,4122651,,BRASIL
449,4112009,,BRASIL
450,4104303,,BRASIL
451,4128534,,BRASIL
452,4104808,,BRASIL
453,4122503,,BRASIL
454,3529005,,BRASIL
455,4104303,,BRASIL
482,4106506,,BRASIL
457,4120101,,BRASIL
458,4208203,,BRASIL
459,4203303,,BRASIL
460,4114005,,BRASIL
461,4104303,,BRASIL
462,4119905,,BRASIL
463,3107109,,BRASIL
464,4128534,,BRASIL
465,5000906,,BRASIL
466,4104303,,BRASIL
467,4104303,,BRASIL
468,5205521,,BRASIL
469,5006903,,BRASIL
470,4121109,,BRASIL
471,5300108,,BRASIL
472,NI,PARANA,BRASIL
473,NI,MATO GROSSO DO SUL,BRASIL
474,NI,PARANA,BRASIL
475,1507755,,BRASIL
476,4118808,,BRASIL
477,4116109,,BRASIL
478,4117701,,BRASIL
479,4106902,,BRASIL
483,4120606,,BRASIL
480,5217302,,BRASIL
484,3504107,,BRASIL
485,4101705,,BRASIL
486,4107504,,BRASIL
487,4112009,,BRASIL
488,4112009,,BRASIL
489,4118204,,BRASIL
490,5222302,,BRASIL
491,4105508,,BRASIL
492,4105508,,BRASIL
493,4110805,,BRASIL
494,5200605,,BRASIL
495,2909307,,BRASIL
496,4113734,,BRASIL
497,4114203,,BRASIL
498,4122503,,BRASIL
499,4120150,,BRASIL
500,4123808,,BRASIL
501,4103008,,BRASIL
502,4104303,,BRASIL
503,4116109,,BRASIL
504,4108106,,BRASIL
505,4109302,,BRASIL
506,4125605,,BRASIL
507,4101200,,BRASIL
508,5006903,,BRASIL
509,4101200,,BRASIL
510,4215802,,BRASIL
511,4109609,,BRASIL
512,4106902,,BRASIL
513,4116208,,BRASIL
514,4106902,,BRASIL
515,2919801,,BRASIL
516,4318622,,BRASIL
517,4218905,,BRASIL
518,4114005,,BRASIL
519,3202801,,BRASIL
520,NI,MATO GROSSO DO SUL,BRASIL
521,5000906,,BRASIL
522,4104204,,BRASIL
523,4117701,,BRASIL
524,4218103,,BRASIL
525,NI,NI,PARAGUAI
526,4111258,,BRASIL
527,5002209,,BRASIL
528,4116208,,BRASIL
529,5200605,,BRASIL
530,5006606,,BRASIL
531,4209409,,BRASIL
532,5002100,,BRASIL
533,4218905,,BRASIL
534,5002159,,BRASIL
535,4116208,,BRASIL
536,4102307,,BRASIL
537,5006903,,BRASIL
538,4109500,,BRASIL
539,4127007,,BRASIL
540,4117271,,BRASIL
541,5002209,,BRASIL
542,4104303,,BRASIL
543,5205521,,BRASIL
544,4114005,,BRASIL
545,4208203,,BRASIL
546,4125803,,BRASIL
547,4118204,,BRASIL
548,1700400,,BRASIL
549,4104303,,BRASIL
550,NI,SAO PAULO,BRASIL
551,4104303,,BRASIL
552,4105508,,BRASIL
553,4105508,,BRASIL
554,4105508,,BRASIL
555,5205521,,BRASIL
556,3107109,,BRASIL
557,5205307,,BRASIL
558,5222302,,BRASIL
559,3127800,,BRASIL
560,4101705,,BRASIL
561,5003207,,BRASIL
562,5003207,,BRASIL
563,5003207,,BRASIL
564,5003207,,BRASIL
565,5003207,,BRASIL
566,5217302,,BRASIL
567,4108601,,BRASIL
568,4105201,,BRASIL
569,4101705,,BRASIL
570,4120804,,BRASIL
571,4105201,,BRASIL
572,4101606,,BRASIL
573,4124400,,BRASIL
574,4122206,,BRASIL
575,4201307,,BRASIL
576,4112207,,BRASIL
577,3126208,,BRASIL
578,5005608,,BRASIL
579,5005608,,BRASIL
580,5005608,,BRASIL
581,5005608,,BRASIL
582,4104303,,BRASIL
586,5002100,,BRASIL
584,5205521,,BRASIL
587,5205307,,BRASIL
588,5200605,,BRASIL
589,4112959,,BRASIL
585,4125506,,BRASIL
590,4107504,,BRASIL
591,NI,MATO GROSSO DO SUL,BRASIL
592,5103403,,BRASIL
593,5108402,,BRASIL
594,5103403,,BRASIL
595,5103403,,BRASIL
596,5106505,,BRASIL
597,5002308,,BRASIL
598,NI,MATO GROSSO,BRASIL
599,5000807,,BRASIL
600,5107859,,BRASIL
601,NI,MATO GROSSO,BRASIL
602,5101605,,BRASIL
607,5106505,,BRASIL
603,5101605,,BRASIL
604,5101605,,BRASIL
605,5105507,,BRASIL
606,5100102,,BRASIL
608,5107701,,BRASIL
609,5107701,,BRASIL
610,5101605,,BRASIL
611,NI,MATO GROSSO DO SUL,BRASIL
612,5106208,,BRASIL
613,5102678,,BRASIL
614,5101605,,BRASIL
615,NI,MATO GROSSO,BRASIL
616,5101605,,BRASIL
617,5103007,,BRASIL
618,5105903,,BRASIL
619,NI,MATO GROSSO DO SUL,BRASIL
620,5100805,,BRASIL
621,5103007,,BRASIL
622,4104303,,BRASIL
623,4112207,,BRASIL
624,4108601,,BRASIL
625,4113205,,BRASIL
626,4112207,,BRASIL
627,4104303,,BRASIL
628,4106902,,BRASIL
629,3127800,,BRASIL
630,4104303,,BRASIL
631,NI,PARANA,BRASIL
632,5001102,,BRASIL
633,4117602,,BRASIL
634,NI,GOIAS,BRASIL
635,NI,GOIAS,BRASIL
636,4128104,,BRASIL
637,4104303,,BRASIL
638,4128005,,BRASIL
639,4205407,,BRASIL
640,4108304,,BRASIL
641,4119608,,BRASIL
642,4119608,,BRASIL
643,4116109,,BRASIL
644,4114005,,BRASIL
645,4119608,,BRASIL
646,4116208,,BRASIL
647,4119905,,BRASIL
648,2905206,,BRASIL
649,4104600,,BRASIL
650,4106902,,BRASIL
651,4127601,,BRASIL
652,2905701,,BRASIL
653,4104303,,BRASIL
654,4104006,,BRASIL
655,4116208,,BRASIL
656,4103107,,BRASIL
657,2928059,,BRASIL
658,4119608,,BRASIL
659,4120150,,BRASIL
660,4110805,,BRASIL
661,3114402,,BRASIL
663,3114402,,BRASIL
662,3114402,,BRASIL
664,3114402,,BRASIL
665,4119905,,BRASIL
666,4119905,,BRASIL
667,4101606,,BRASIL
668,4107207,,BRASIL
669,4128005,,BRASIL
670,5214507,,BRASIL
671,4113734,,BRASIL
672,4115804,,BRASIL
673,4128005,,BRASIL
674,4104303,,BRASIL
675,4104303,,BRASIL
676,4119954,,BRASIL
677,NI,GOIAS,BRASIL
678,1700400,,BRASIL
679,2919801,,BRASIL
680,4115705,,BRASIL
681,4104006,,BRASIL
682,5215603,,BRASIL
683,2928901,,BRASIL
684,2912400,,BRASIL
685,4107207,,BRASIL
686,4128534,,BRASIL
687,4104303,,BRASIL
688,5214606,,BRASIL
689,5214606,,BRASIL
690,3104502,,BRASIL
691,5214606,,BRASIL
692,5221080,,BRASIL
693,5214606,,BRASIL
694,5204904,,BRASIL
695,4107553,,BRASIL
696,4107553,,BRASIL
697,4107553,,BRASIL
698,4104303,,BRASIL
699,4104303,,BRASIL
700,4104303,,BRASIL
701,4127882,,BRASIL
702,4101705,,BRASIL
703,3104502,,BRASIL
704,4127908,,BRASIL
705,5002803,,BRASIL
706,4113734,,BRASIL
707,4104303,,BRASIL
708,4104303,,BRASIL
709,4112207,,BRASIL
710,4104303,,BRASIL
711,4108304,,BRASIL
712,4128005,,BRASIL
713,4108601,,BRASIL
714,4113734,,BRASIL
715,4106902,,BRASIL
716,4205803,,BRASIL
717,4104204,,BRASIL
718,4104303,,BRASIL
719,3156403,,BRASIL
720,5205307,,BRASIL
721,4113205,,BRASIL
722,2931053,,BRASIL
